,Title,Published_date,Views,Likes,Comments,Month
146,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,15092,609,121,Apr
147,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,21791,611,95,Apr
148,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,33335,727,140,Apr
149,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,57074,1608,205,Apr
150,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,60256,1474,259,Apr
151,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,87444,2719,614,Apr
152,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,127862,3716,161,Apr
153,When Data Science Goes Wrong,2020-03-30,1752,106,32,Mar
154,How to ULTRALEARN Data Science,2020-03-27,59251,3713,168,Mar
155,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4210,265,50,Mar
156,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,11449,429,44,Mar
157,The Secret Data Scientists Don't Want You to Know,2020-03-16,10151,1102,107,Mar
158,The 5 Stages of Learning Data Science,2020-03-13,16578,1251,78,Mar
159,Can You Learn Data Science Without a Computer?,2020-03-11,1293,97,14,Mar
160,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,324689,20303,612,Mar
161,The Data Science Projects that Got Me a Job,2020-03-06,37330,1313,41,Mar
162,How to Integrate Data Science into Your Business,2020-03-02,2997,118,18,Mar
163,The Problem with Data Science,2020-02-28,3575,149,21,Feb
164,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1059,45,16,Feb
165,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,95705,1970,89,Feb
166,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,286963,16363,507,Feb
167,Data Science Advice for College Students,2020-02-14,66710,1911,195,Feb
168,Avoid These Data Science Resume Mistakes!,2020-02-10,25482,1142,57,Feb
169,Data Science Explained with ... Cooking?,2020-02-07,4464,278,45,Feb
170,The 4 Types of Sports Analytics Projects,2020-02-03,22674,787,59,Feb
171,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,530,18,13,Jan
172,How I Learned Data Science,2020-01-27,90665,2591,210,Jan
173,What is Sports Analytics Really?,2020-01-20,16740,501,73,Jan
174,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,102471,2904,577,Jan
175,How To Learn Programming for Data Science [3 Steps],2020-01-13,28273,1908,96,Jan
176,Data Science Fundamentals: SQL Queries,2020-01-10,5567,198,32,Jan
177,Questions You Should Ask Your Data Science Interviewers,2020-01-06,2667,136,14,Jan
178,The 9 Books That Changed My Perspective in 2019,2020-01-03,3207,178,23,Jan
179,The Data Science Interview: What to Expect,2019-12-30,7380,348,32,Dec
180,5 Data Science Resolutions for 2020,2019-12-27,468,25,12,Dec
181,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,13634,490,91,Dec
182,Collision Course: Sports Betting + Data Science,2019-12-20,12993,404,26,Dec
183,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,98431,2879,214,Dec
184,5 Sports Analytics Books to Get You Started,2019-12-13,8789,328,55,Dec
185,Math Needed for Mastering Data Science,2019-12-09,52867,2722,225,Dec
186,The 5 Stages of Data Science Adoption,2019-12-06,1174,64,17,Dec
187,How YOU Can Land a Sports Analytics Job,2019-12-02,58992,2669,222,Dec
188,Data Science Fundamentals: Linear Regression,2019-11-29,5541,158,41,Nov
189,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,896,45,12,Nov
190,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5069,239,26,Nov
191,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,43447,1672,80,Nov
192,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5793,136,31,Nov
193,Why Selling Is An Important Data Science Skill,2019-11-04,1530,74,13,Nov
194,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2548,69,18,Oct
195,Why is Balance Important in Data Science?,2019-10-16,661,32,13,Oct
196,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,10889,547,56,Sep
197,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3003,99,29,Sep
198,6 Habits of Successful Data Scientists,2019-09-13,1838,87,17,Sep
199,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3383,85,9,Sep
200,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,512,24,29,Aug
201,Is Data Science Right For You?,2019-08-18,47244,1107,109,Aug
202,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,12921,356,53,Aug
203,How To Get Data Science Experience (Without a Job),2019-08-08,27526,1313,71,Aug
204,Take Your Data Science Projects From Good to Great,2019-08-05,1517,104,11,Aug
205,The Projects You Should Do To Get A Data Science Job,2019-07-30,141253,5471,249,Jul
206,What Does a Data Scientist Actually Do?,2019-07-19,31750,1082,74,Jul
207,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,11221,324,41,Jul
